location,iso_code,date,people_vaccinated_per_hundred,daily_vaccinations_per_million
Albania,ALB,1/10/2021,0,
Albania,ALB,1/11/2021,,22
Albania,ALB,1/12/2021,0,22
Albania,ALB,1/13/2021,0.01,22
Albania,ALB,1/14/2021,0.01,23
Albania,ALB,1/15/2021,0.01,22
Albania,ALB,1/16/2021,0.01,22
Albania,ALB,1/17/2021,0.01,20
Albania,ALB,1/18/2021,0.02,19
Albania,ALB,1/19/2021,0.02,18
Albania,ALB,1/20/2021,0.02,16
Albania,ALB,1/21/2021,0.02,14
Albania,ALB,1/22/2021,,12
Albania,ALB,1/23/2021,,9
Albania,ALB,1/24/2021,,7
Albania,ALB,1/25/2021,,5
Albania,ALB,1/26/2021,,3
Albania,ALB,1/27/2021,,1
Albania,ALB,1/28/2021,,
Albania,ALB,1/29/2021,,
Albania,ALB,1/30/2021,,
Albania,ALB,1/31/2021,,
Albania,ALB,2/1/2021,,
Albania,ALB,2/2/2021,0.02,
Albania,ALB,2/3/2021,,4
Albania,ALB,2/4/2021,,8
Albania,ALB,2/5/2021,,12
Albania,ALB,2/6/2021,,16
Albania,ALB,2/7/2021,,21
Albania,ALB,2/8/2021,,25
Albania,ALB,2/9/2021,0.02,28
Algeria,DZA,1/29/2021,,
Algeria,DZA,1/30/2021,,1
Andorra,AND,1/25/2021,0.75,
Andorra,AND,1/26/2021,,854
Andorra,AND,1/27/2021,,854
Andorra,AND,1/28/2021,,854
Andorra,AND,1/29/2021,,854
Andorra,AND,1/30/2021,,854
Andorra,AND,1/31/2021,,854
Andorra,AND,2/1/2021,1.34,854
Andorra,AND,2/2/2021,,777
Andorra,AND,2/3/2021,,712
Andorra,AND,2/4/2021,,647
Andorra,AND,2/5/2021,,569
Andorra,AND,2/6/2021,,505
Andorra,AND,2/7/2021,,440
Andorra,AND,2/8/2021,,362
Andorra,AND,2/9/2021,,362
Andorra,AND,2/10/2021,1.67,362
Argentina,ARG,12/29/2020,,
Argentina,ARG,12/30/2020,,346
Argentina,ARG,12/31/2020,,346
Argentina,ARG,1/1/2021,,245
Argentina,ARG,1/2/2021,,194
Argentina,ARG,1/3/2021,,164
Argentina,ARG,1/4/2021,,143
Argentina,ARG,1/5/2021,,177
Argentina,ARG,1/6/2021,,181
Argentina,ARG,1/7/2021,,185
Argentina,ARG,1/8/2021,,233
Argentina,ARG,1/9/2021,,264
Argentina,ARG,1/10/2021,,296
Argentina,ARG,1/11/2021,,327
Argentina,ARG,1/12/2021,,311
Argentina,ARG,1/13/2021,,295
Argentina,ARG,1/14/2021,,295
Argentina,ARG,1/15/2021,,295
Argentina,ARG,1/16/2021,,287
Argentina,ARG,1/17/2021,,279
Argentina,ARG,1/18/2021,,272
Argentina,ARG,1/19/2021,,264
Argentina,ARG,1/20/2021,0.54,256
Argentina,ARG,1/21/2021,0.55,259
Argentina,ARG,1/22/2021,0.56,249
Argentina,ARG,1/23/2021,0.57,246
Argentina,ARG,1/24/2021,0.58,229
Argentina,ARG,1/25/2021,0.58,200
Argentina,ARG,1/26/2021,0.59,213
Argentina,ARG,1/27/2021,0.6,222
Argentina,ARG,1/28/2021,0.61,197
Argentina,ARG,1/29/2021,0.62,204
Argentina,ARG,1/30/2021,0.62,248
Argentina,ARG,1/31/2021,,250
Argentina,ARG,2/1/2021,0.62,264
Argentina,ARG,2/2/2021,,254
Argentina,ARG,2/3/2021,0.63,248
Argentina,ARG,2/4/2021,0.66,367
Argentina,ARG,2/5/2021,,359
Argentina,ARG,2/6/2021,0.68,332
Argentina,ARG,2/7/2021,0.71,411
Argentina,ARG,2/8/2021,0.71,429
Argentina,ARG,2/9/2021,0.71,401
Argentina,ARG,2/10/2021,0.75,439
Argentina,ARG,2/11/2021,0.8,407
Austria,AUT,1/10/2021,0.08,
Austria,AUT,1/11/2021,0.13,
Austria,AUT,1/12/2021,0.15,
Austria,AUT,1/13/2021,0.22,
Austria,AUT,1/14/2021,0.33,717
Austria,AUT,1/15/2021,0.44,1026
Austria,AUT,1/16/2021,0.56,1014
Austria,AUT,1/17/2021,0.62,964
Austria,AUT,1/18/2021,0.67,1074
Austria,AUT,1/19/2021,0.78,1208
Austria,AUT,1/20/2021,0.96,1683
Austria,AUT,1/21/2021,1.17,1677
Austria,AUT,1/22/2021,1.35,1526
Austria,AUT,1/23/2021,1.47,1469
Austria,AUT,1/24/2021,1.5,1418
Austria,AUT,1/25/2021,1.52,1399
Austria,AUT,1/26/2021,1.63,1431
Austria,AUT,1/27/2021,1.71,1021
Austria,AUT,1/28/2021,1.82,718
Austria,AUT,1/29/2021,1.93,717
Austria,AUT,1/30/2021,2.04,824
Austria,AUT,1/31/2021,2.06,847
Austria,AUT,2/1/2021,2.07,803
Austria,AUT,2/2/2021,2.11,851
Austria,AUT,2/3/2021,2.16,967
Austria,AUT,2/4/2021,2.21,1015
Austria,AUT,2/5/2021,2.24,1087
Austria,AUT,2/6/2021,2.31,1014
Austria,AUT,2/7/2021,2.33,1034
Austria,AUT,2/8/2021,2.35,1117
Austria,AUT,2/9/2021,2.39,1110
Austria,AUT,2/10/2021,2.43,1224
Austria,AUT,2/11/2021,2.49,1285
Bahrain,BHR,12/23/2020,2.29,
Bahrain,BHR,12/24/2020,2.94,6527
Bahrain,BHR,12/25/2020,2.97,3402
Bahrain,BHR,12/26/2020,3.03,2467
Bahrain,BHR,12/27/2020,3.15,2152
Bahrain,BHR,12/28/2020,3.23,1886
Bahrain,BHR,12/29/2020,3.29,1673
Bahrain,BHR,12/30/2020,3.37,1541
Bahrain,BHR,12/31/2020,3.45,720
Bahrain,BHR,1/1/2021,3.49,739
Bahrain,BHR,1/2/2021,3.53,717
Bahrain,BHR,1/3/2021,3.57,594
Bahrain,BHR,1/4/2021,3.62,554
Bahrain,BHR,1/5/2021,3.75,659
Bahrain,BHR,1/6/2021,4.02,937
